Country_Code,IMF_Country_Code,Country,Indicator_Type,Series_Name,Y_1970,Y_1971,Y_1972,Y_1973,Y_1974,Y_1975,Y_1976,Y_1977,Y_1978,Y_1979,Y_1980,Y_1981,Y_1982,Y_1983,Y_1984,Y_1985,Y_1986,Y_1987,Y_1988,Y_1989,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021,Y_2022,Note,Alpha_2,Flag_Image,Continent
MYS,548.0,Malaysia,Inflation,Headline Consumer Price Inflation,1.84,1.61,3.23,10.56,17.33,4.49,2.63,4.79,4.86,3.65,6.72,9.7,5.83,3.7,3.9,2.59,0.35,0.74,0.29,2.56,3.04,4.33,4.78,3.55,3.69,3.47,3.48,2.65,5.29,2.73,1.55,1.43,1.79,1.07,1.42,3.04,3.62,2.03,5.43,0.6,1.72,3.17,1.66,2.11,3.14,2.1,2.08,3.8,0.97,0.66,-1.14,2.48,3.38,Annual average inflation,my,https://raw.githubusercontent.com/namith1003/FIT3179/main/flags/my_64.png,Asia
MYS,548.0,Malaysia,Inflation,Energy Consumer Price Inflation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.7,3.9,1.2,-0.2,-0.4,-1.7,2.2,-3.4,3.0,2.0,0.2,1.5,1.3,0.0,0.5,0.5,1.4,1.54,1.31,1.52,1.41,1.15,1.78,1.58,1.77,3.39,2.45,2.44,2.2,1.99,1.87,-1.73,1.57,1.95,"Housing, Water, Electricity, Gas & Other Fuel",my,https://raw.githubusercontent.com/namith1003/FIT3179/main/flags/my_64.png,Asia
MYS,548.0,Malaysia,Inflation,Food Consumer Price Inflation,2.1,1.5,3.2,15.9,26.1,3.8,2.0,5.5,5.0,2.6,4.6,11.5,7.6,0.8,3.5,-2.4,0.2,-0.5,3.7,3.7,4.3,4.9,6.4,2.4,5.3,4.9,5.7,4.1,8.9,4.6,1.9,0.7,0.7,1.3,2.1,3.7,3.39,3.02,8.84,4.13,2.39,4.81,2.69,3.56,3.34,3.63,3.78,3.98,1.63,1.65,1.27,1.77,5.3,Food and non-acoholic beverage,my,https://raw.githubusercontent.com/namith1003/FIT3179/main/flags/my_64.png,Asia
MYS,548.0,Malaysia,Inflation,Official Core Consumer Price Inflation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53,1.51,2.62,1.58,1.35,1.88,1.35,1.36,2.24,3.35,2.73,1.79,0.55,1.09,0.95,0.44,1.55,All Items Excluding Food and Energy,my,https://raw.githubusercontent.com/namith1003/FIT3179/main/flags/my_64.png,Asia
MYS,548.0,Malaysia,Inflation,Producer Price Inflation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.69,7.34,4.04,0.66,4.04,1.11,1.45,4.88,4.6,2.28,2.62,10.79,-3.27,3.68,0.53,-0.76,4.6,6.98,6.86,5.26,5.53,10.19,-7.32,5.96,12.32,-0.47,-2.7,1.52,-7.45,-1.05,6.69,-1.14,-1.35,-2.66,9.46,8.7,Producer Price Index (local production),my,https://raw.githubusercontent.com/namith1003/FIT3179/main/flags/my_64.png,Asia
,,Global,,Energy Consumer Price Inflation,2.5069767441860464,2.5896511627906977,2.2834302325581395,3.632616279069767,13.544476744186047,7.7311046511627906,8.92843023255814,5.646627906976744,5.710290697674418,10.136046511627908,13.24482558139535,12.186104651162792,9.460523255813953,12.517616279069768,19.847558139534883,140.47866279069765,8.055116279069768,9.449302325581396,14.747209302325581,37.32889534883721,40.28174418604651,19.926627906976744,85.22749999999999,85.47447674418605,49.90616279069768,42.48156976744186,13.92453488372093,16.94982558139535,6.446220930232558,6.912558139534884,10.32924418604651,6.665290697674419,5.248662790697674,5.576976744186046,7.54110465116279,6.606802325581395,7.618720930232558,6.081337209302325,7.867848837209302,2.0743604651162793,4.280639534883721,4.895058139534884,4.281029069767442,3.0436744186046507,3.3244186046511626,2.659029069767442,2.322441860465116,4.310819767441861,555.6549825581395,106.35499418604651,3.910232558139535,16.004825581395348,17.851162790697675,,,,
,,Global,,Food Consumer Price Inflation,4.605054945054945,5.081703296703297,6.821978021978022,13.3789010989011,19.715604395604398,13.252637362637362,10.272197802197802,13.594285714285714,9.075714285714286,10.74554945054945,14.149395604395604,12.381373626373625,12.253846153846153,15.32642857142857,21.89835164835165,79.88626373626374,20.26478021978022,22.22197802197802,21.84274725274725,78.97329670329671,133.33423076923077,54.14478021978022,87.07241758241759,100.57873626373627,96.61934065934066,27.27208791208791,10.472417582417583,13.864945054945055,8.146428571428572,7.388626373626374,5.418681318681319,5.842307692307692,5.755824175824175,7.107032967032967,6.994835164835164,6.746373626373627,11.604010989010991,47.87802197802198,54.42076923076924,5.198241758241759,4.107637362637363,6.968461538461538,5.501889250252748,4.485336832346154,3.5062373293021976,4.806597590631868,5.141912373664836,7.074481256554945,214.28741758241756,102.1258021978022,22.137694378467035,19.659945054945055,15.340549450549451,,,,
,,Global,,Headline Consumer Price Inflation,4.675862068965517,4.962216748768473,6.190591133004927,12.072709359605913,17.73472906403941,13.957832512315271,12.133694581280787,12.053300492610838,9.836650246305418,12.307192118226602,15.244827586206895,13.769261083743842,13.948522167487686,16.30857142857143,23.532561576354677,78.18541871921182,20.22955665024631,83.45748768472907,47.14433497536945,109.42812807881774,101.94349753694581,39.24822660098522,113.75167487684729,173.69743842364534,307.57,50.148768472906404,41.894137931034486,16.723004926108374,8.692463054187192,10.901724137931033,11.357339901477832,8.338620689655173,5.9351724137931035,5.878719211822661,5.7670443349753695,5.561625615763547,5.937586206896551,5.430689655172414,10.51463054187192,4.420492610837439,4.253103448275862,6.114285714285715,5.554975369458129,4.585517241379311,3.9801970443349757,4.234088669950739,6.9041871921182265,7.31128078817734,326.4271921182266,103.1041379310345,102.60187192118227,15.915073891625617,13.71088669950739,,,,
,,Global,,Official Core Consumer Price Inflation,0.6187124111238937,1.0753982300884957,1.454867256637168,2.298407079646018,3.379646017699115,1.586637168141593,3.8922123893805307,2.3449557522123894,2.4332743362831857,2.8715044247787613,4.424424778761062,4.350088495575221,3.7631858407079646,4.000707964601769,5.185929203539823,4.787345132743363,2.3785840707964603,2.849734513274336,3.34070796460177,3.95,7.938761061946903,2.8953982300884955,11.078672566371683,20.060442477876105,21.34858407079646,3.8816814159292035,4.760088495575221,2.7607964601769908,2.4030088495575224,1.9485840707964601,2.819469026548673,1.4501769911504425,2.1424778761061947,3.1922123893805314,2.8358407079646017,2.4292035398230087,2.788053097345133,3.547433628318584,5.018053097345132,2.2906194690265487,3.5642477876106193,4.2872566371681415,3.964513274336283,3.8088495575221235,3.4957522123893803,3.479026548672566,5.895132743362832,2.860176991150442,2.9132743362831857,2.6015044247787613,3.403716814159292,5.983274336283186,5.042566371681416,,,,
,,Global,,Producer Price Inflation,1.6619469026548674,0.825929203539823,2.283362831858407,4.259203539823009,5.235575221238938,3.749115044247788,3.0512389380530975,2.657964601769912,2.2738053097345134,4.353805309734513,6.285221238938053,3.984336283185841,4.112477876106195,4.580442477876106,6.840088495575221,5.536194690265487,3.2049557522123893,4.634513274336284,9.886017699115044,27.891061946902653,68.87699115044248,11.552212389380532,12.398761061946901,181.2651327433628,106.69283185840709,20.061150442477874,9.674690265486726,14.896283185840709,3.903628318584071,7.51566371681416,8.536814159292035,3.8334513274336284,2.7515929203539824,3.1463716814159293,4.336548672566371,4.095663716814159,4.708849557522124,3.8856637168141592,9.28575221238938,-1.5456637168141594,6.173185840707965,7.564159292035399,3.1235398230088496,1.3490265486725663,1.8727433628318584,0.34893805309734516,3.503362831858407,13.422477876106194,1503.1853982300884,2.9397345132743364,0.5669026548672567,11.392743362831858,20.17221238938053,,,,
