Continent,Year,Average Energy Inflation,Average Food Inflation,Average Headline Inflation,Average Official Core Inflation,Average Producer Inflation
Africa,1970,0.9727272727272728,4.927272727272728,4.344181818181818,0.03771420932727272,0.7023636363636363
Africa,1971,1.3945454545454545,5.289818181818182,4.6338181818181825,0.16490909090909092,0.19254545454545455
Africa,1972,1.029090909090909,4.766909090909091,5.1872727272727275,0.07509090909090908,0.7907272727272727
Africa,1973,1.6254545454545455,7.914363636363637,8.642181818181818,0.20727272727272728,0.7145454545454545
Africa,1974,8.425454545454546,13.919636363636364,14.465454545454547,0.7870909090909091,1.5796363636363635
Africa,1975,6.798181818181819,13.216181818181818,15.916727272727274,0.28654545454545455,1.4612727272727273
Africa,1976,5.18,11.392909090909091,13.588000000000001,0.06527272727272727,1.1885454545454546
Africa,1977,4.601818181818182,15.277818181818182,16.28490909090909,0.18636363636363637,1.1383636363636362
Africa,1978,3.3727272727272726,10.546727272727274,13.492909090909091,0.24254545454545454,0.8187272727272727
Africa,1979,8.045454545454545,10.867272727272729,16.20418181818182,0.28854545454545455,1.0681818181818181
Africa,1980,7.621818181818182,10.86109090909091,16.537272727272725,0.45890909090909093,1.4416363636363634
Africa,1981,8.514545454545456,11.10890909090909,15.944363636363635,0.4976363636363636,1.04
Africa,1982,4.507272727272728,8.214181818181817,13.747818181818182,0.15127272727272728,1.2694545454545454
Africa,1983,4.576363636363636,13.698363636363636,17.77781818181818,0.078,1.048
Africa,1984,4.307272727272728,9.762545454545453,14.572545454545455,0.12781818181818183,1.1010909090909091
Africa,1985,6.705454545454546,11.338727272727272,15.264,0.13054545454545455,1.4354545454545455
Africa,1986,6.596363636363637,9.496727272727274,15.564363636363636,0.07327272727272728,2.3899999999999997
Africa,1987,6.127272727272727,14.228,20.372363636363637,0.23254545454545453,2.1605454545454545
Africa,1988,2.0018181818181815,13.53,16.631454545454545,0.34763636363636363,0.3407272727272727
Africa,1989,3.9472727272727273,10.908545454545456,18.380909090909093,0.5052727272727272,1.954
Africa,1990,4.632727272727273,11.698181818181817,13.904,0.2601818181818182,2.3718181818181816
Africa,1991,12.628545454545456,12.32618181818182,55.509454545454545,0.37345454545454543,1.8767272727272728
Africa,1992,6.355090909090909,12.755454545454544,96.22781818181818,0.11036363636363636,2.532909090909091
Africa,1993,16.872545454545456,9.64,75.96981818181818,-0.19872727272727272,0.11836363636363637
Africa,1994,20.534000000000002,16.387454545454545,470.0170909090909,-0.014363636363636365,0.1598181818181818
Africa,1995,15.41618181818182,14.805272727272726,76.60163636363636,-0.010909090909090908,0.19072727272727272
Africa,1996,6.549636363636364,9.431818181818182,99.05163636363636,0.627090909090909,0.15363636363636363
Africa,1997,4.244363636363636,6.937636363636363,15.986545454545455,-0.0012727272727272618,0.19181818181818183
Africa,1998,4.536181818181818,6.718,8.740181818181819,0.10890909090909091,0.2061818181818182
